sample	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	T	OD	NH4	pH	EC	CODs	CODb	CODt	PHO	CN
0.25_C1	3.54E-05	4.25E-05	0.00057422	0.00016305	0.003735972	3.54E-05	0.000751448	0.000673468	3.54E-05	1.42E-05	1.42E-05	0.000418259	0.00930803	0.016297914	0.000184317	0.000191407	0.000545863	0.002389037	4.25E-05	6.38E-05	0.001722659	3.54E-05	5.67E-05	0.000106337	0.000134694	4.96E-05	0	0.000148872	0.000602576	0.00081525	0.000453704	0.000255209	5.67E-05	0.001190974	0.001027924	0.487746436	0.186961669	0.125130263	0.039224165	0.072479282	0.009697932	6.38E-05	4.25E-05	0.009485258	0.000765626	0.000396991	1.42E-05	0.000482061	6.38E-05	0.000446615	0.000134694	0.00016305	0.005153799	2.84E-05	2.84E-05	0.004352727	0.000964122	0.00171557	3.54E-05	0.006848101	7.09E-06	1.42E-05	0.000567131	1.42E-05	0.000120515	0.003175931	0.001495807	7.09E-06	30	0.3315								
1_C1	0.000888943	5.44E-05	0.000592628	0.001155021	0.002328183	0.017198319	0.002678922	0.038430139	0.003477157	6.05E-05	0.002636592	0.0104738	0.049599371	0.057333777	0.025567684	0.031391165	0.005835576	0.012445197	0.000586581	0.000120945	0.020348925	0.006071418	0.000314456	0.010993862	0.003398543	0.00028422	0.000120945	0.017047138	0.005375986	0.000483778	0.003108276	0.000151181	3.02E-05	0.024787591	0.009512291	0.221165301	0.053493786	0.022773864	0.08329453	0.086632601	0.027266955	0.029994255	0.017035044	0.01043147	0.005388081	0.004940586	0.001161068	0.000241889	4.84E-05	0.016762918	0.000368881	0.000816376	0.013164817	3.63E-05	0.003743235	0.00211653	0.005690442	0.002031869	0.001584374	0.008841049	0.005974662	1.21E-05	0.002346325	3.63E-05	0.001354579	0.003071992	0.003053851	0.000241889	30	0.5015								
2_C1	0.00114741	0.00011383	0.019210017	0.024728515	0.008988048	0.037372795	0.007854297	0.029513944	0.021878201	0.000614684	0.005254411	0.013136027	0.030010245	0.034850313	0.182014798	0.050672738	0.002572567	0.009188389	0.029532157	0.002850313	0.006948207	0.052981218	0.000223108	0.028994878	0.001980649	0.0051679	0.001498008	0.00775868	0.004612408	0.002030734	0.003364826	0.000163916	1.82E-05	0.012498577	0.004512237	0.059464997	0.019414912	0.007043825	0.033434263	0.01717473	0.016273193	0.045737052	0.053600455	0.003505976	0.002226522	0.006319863	0.006028458	0.007817871	5.46E-05	0.022119522	0.009607285	0.00193967	0.003360273	9.11E-05	0.016364257	0.000628344	0.003801935	0.000883324	0.001702903	0.003232783	0.003287422	4.55E-05	0.002026181	0.000136596	0.002777462	0.002363119	0.002618099	0.000660216	30	0.378								
3_C1	0.000840945	0.000336378	0.03804811	0.018840916	0.022025296	0.078376116	0.018728789	0.040847524	0.007209706	0.00131935	0.007026566	0.012550644	0.031776525	0.042753667	0.15560107	0.06664773	0.004451405	0.017278626	0.025019061	0.009911944	0.002249996	0.055375323	0.000407391	0.012356292	0.002261209	0.011728386	0.004021588	0.01167606	0.003393682	0.005882881	0.003827236	0.000313953	0.000231727	0.0132533	0.007101317	0.018702627	0.006230471	0.003360044	0.027328858	0.006619175	0.014288598	0.046162299	0.039102095	0.00741527	0.004720507	0.005819342	0.013701804	0.017458027	0.000119601	0.012109614	0.011747074	0.001506227	0.00154734	0.000254152	0.008080551	0.000837208	0.001222174	0.000265365	0.002111707	0.00163704	0.007501233	7.48E-05	0.001345513	0.000164452	0.001498752	0.000982972	0.00185008	0.000564368	30	0.281	28	7.985	1.16	73	595	668	63.79	
5_C1	0.010265673	0.007501401	0.052543888	0.028854455	0.015298163	0.008758577	0.009110737	0.115425395	0.024336953	0.011723543	0.002158404	0.00505521	0.042497842	0.009769619	0.17883325	0.049313855	0.002715045	0.015324669	0.02101604	0.014090214	0.00535057	0.011462262	0.003567047	0.086018085	0.007755108	0.002756699	0.00158283	0.005392224	0.000901228	0.007864922	0.001094349	0.003453447	0.000454401	0.02434074	0.004668969	0.008410203	0.002646885	0.001620696	0.010833674	0.003343633	0.010068766	0.01935369	0.023901486	0.020728253	0.01544963	0.003915421	0.001196589	0.006206359	0.002995259	0.033936172	0.008758577	0.000583148	0.002927099	0.004055528	0.004047954	0.002923312	0.00019312	9.47E-05	0.001329123	0.002366671	0.002347738	0.002635525	0.002514351	0.005093076	0.001003469	0.001287469	0.001726723	0.00024992	30	0.3225								
7_C1	0.013372981	0.025759563	0.202378856	0.065488618	0.009290835	0.011777494	0.007769014	0.007197657	0.023190255	0.03705374	0.003228704	0.003517976	0.011261836	0.00639093	0.025369675	0.011669691	0.006178917	0.011473849	0.033600446	0.104423523	0.002644771	0.01550389	0.003970749	0.023423828	0.00899797	0.003613202	0.002439945	0.012568051	0.003146055	0.002280037	0.011466662	0.00078876	0.003323931	0.020160986	0.00913452	0.002556731	0.000718688	0.000450977	0.00650592	0.001219972	0.005675836	0.010447922	0.011335501	0.001507447	0.001022333	0.002202778	0.003020285	0.008078049	0.092423235	0.017478484	0.008322403	0.010453312	0.000476131	0.031291661	0.003045439	0.001956627	0.000278491	7.55E-05	0.00501105	0.000258728	0.004114487	0.004213307	0.000476131	0.008275689	0.000918124	0.003358068	0.006698169	0.002274646	30	0.2555	33.5	7.88	1.11	166	452	618	60.16	
8_C1	0.009259766	0.00990795	0.209051842	0.062755959	0.043118942	0.005759995	0.009217676	0.009371304	0.036515045	0.04640195	0.001995059	0.004629883	0.016463443	0.008533716	0.053468835	0.022911607	0.002569585	0.008083355	0.036256192	0.065601232	0.003598682	0.012145025	0.000532437	0.036037325	0.00713002	0.00200979	0.000646079	0.004880318	0.001723579	0.002232866	0.014234786	0.000740781	0.000511392	0.010234146	0.004377344	0.003322993	0.000818647	0.00053875	0.009657515	0.001881416	0.007342573	0.015324913	0.02256647	0.001757251	0.000694482	0.001416323	0.001157471	0.009535454	0.054798874	0.020386216	0.00578104	0.026535543	0.000511392	0.024912979	0.006035684	0.001931924	0.000774453	8.84E-05	0.00101647	0.000473511	0.00176146	0.003200933	0.000418794	0.009832188	0.000545063	0.000772349	0.001153262	0.000147314	30	0.2875								
9_C1	0.007061994	0.007043212	0.170741556	0.047245869	0.047917322	0.00336196	0.004718952	0.007395373	0.035690305	0.044677444	0.001103437	0.004869208	0.016274516	0.010921675	0.089237502	0.034981289	0.001197346	0.00731555	0.038441854	0.067704054	0.002840762	0.035817083	0.000201905	0.048025318	0.00573787	0.000713712	0.000192514	0.002394692	0.00128656	0.001413338	0.010095271	0.000474243	0.000107996	0.008310991	0.00222096	0.00558292	0.001131609	0.000760667	0.014293026	0.00277033	0.012123716	0.019960464	0.023510243	0.000685539	0.000258251	0.001352297	0.000511807	0.001347601	0.056664992	0.024712285	0.002117659	0.019810209	0.000314597	0.020298538	0.009043485	0.001277169	0.00034277	7.04E-05	0.000309901	0.000295815	0.001103437	0.001906363	0.000361552	0.007695883	0.000915618	0.000187819	0.000474243	7.51E-05	30	0.335								
10_C1	0.002982893	0.00598891	0.204681987	0.066516212	0.023655039	0.002802532	0.005119478	0.009952227	0.023710534	0.047610679	0.001003547	0.00547095	0.017643005	0.009420394	0.108762307	0.026429823	0.001022046	0.003907822	0.031812906	0.109788978	0.006257139	0.02776172	0.000157238	0.036076825	0.002529679	0.000541083	0.000161862	0.001826733	0.001452137	0.001831358	0.007700027	0.00057808	0.000231232	0.004319415	0.001729616	0.00347773	0.000772315	0.000536458	0.010081717	0.002034842	0.005854796	0.015469424	0.024450477	0.000804688	0.000397719	0.001785111	0.000541083	0.001798985	0.066386722	0.012995241	0.002372441	0.010798537	0.000527209	0.018073097	0.009304778	0.001188533	0.000245106	7.40E-05	0.00038847	0.00038847	0.000804688	0.001008172	0.000531834	0.003963317	0.000841685	0.000138739	0.000457839	6.94E-05	30	0.343	27	8.12	1.16	83	445	528	62.67	
11_C1	0.00189634	0.00284218	0.232289958	0.059802259	0.011741464	0.003592329	0.003424594	0.012934248	0.024256374	0.036994931	0.0020268	0.005269681	0.014401931	0.008531199	0.178176718	0.018185291	0.000759468	0.002884114	0.033439876	0.073183801	0.00351778	0.032270389	0.000307515	0.043298979	0.002450798	0.000526502	8.39E-05	0.001807813	0.002306359	0.002557962	0.00466397	0.000936522	0.000209669	0.003862569	0.001062323	0.00351778	0.00081072	0.000615029	0.011536454	0.002371589	0.005516624	0.017388549	0.03307645	0.001290629	0.000461272	0.002935366	0.000750149	0.001467683	0.038471932	0.012822424	0.003159013	0.005237066	0.000750149	0.010390264	0.01203966	0.000642985	0.000149098	3.26E-05	0.000288877	0.00094584	0.001202102	0.00060571	0.000680259	0.002641829	0.000759468	0.00027024	0.000517184	0.000158417	30	0.3565								
