time	C1	C2	D1	D2	D3
0.25	0.788272844	0.781183689	0.7613	0.70869	0.77298
1	0.600861676	0.575832272	0.72397	0.57162	0.66199
2	0.565270212	0.50612129	0.63351	0.54372	0.61777
3	0.525683746	0.495179123	0.57579	0.55243	0.56696
5	0.381385827	0.432139587	0.51975	0.45631	0.57378
7	0.487978622	0.53506594	0.56213	0.44378	0.57817
8	0.43468325	0.406607435	0.5478	0.41394	0.60076
9	0.458338464	0.384603678	0.58394	0.3935	0.53293
10	0.438137545	0.41072956	0.55534	0.47219	0.5657
11	0.433301604	0.40221186	0.51405	0.57071	0.41225
12	0.443374714	0.41102399	0.56693	0.61195	0.49462
14	0.452975176	0.493444406	0.60782	0.6298	0.6146
15	0.422652828	0.498359614	0.56461	0.63945	0.54407
17	0.469207179	0.530892627	0.52461	0.65919	0.49193
18	0.433419179	0.491390544	0.54755	0.66573	0.50173
19	0.416432045	0.504501264	0.48496	0.64849	0.44784
21	0.443180682	0.527295034	0.54655	0.61728	0.46513
22	0.483244447	0.598556337	0.52309	0.62142	0.42405
23	0.49601295	0.571984812	0.52317	0.62506	0.44093
24	0.470486829	0.513819175	0.50566	0.6165	0.40754
25	0.476092933	0.500011985	0.50635	0.63598	0.43865
28	0.503975023	0.502697356	0.54683	0.67671	0.43603
29	0.500966419	0.536347919	0.42053	0.67044	0.33423
30	0.456088506	0.541428123	0.40671	0.67774	0.35857
31	0.458075318	0.540784459	0.34926	0.63874	0.49336
35	0.376885693	0.511627675	0.34813	0.66044	0.54921
36	0.379824426	0.512118372	0.38276	0.53845	0.55012
37	0.337858044	0.5131507	0.35315	0.58421	0.53444
38	0.317503386	0.468266594	0.35605	0.55557	0.77078
39	0.35710814	0.434713972	0.34894	0.57555	0.80881
43	0.33710643	0.433545437	0.41959	0.56554	0.69825
44	0.333961589	0.444989738	0.38833	0.58458	0.64712
45	0.301928276	0.427963934	0.44475	0.54809	0.67233
46	0.376108592	0.458833778	0.43399	0.55521	0.64691
49	0.363998878	0.60751222	0.36304	0.53752	0.74274
50	0.322125086	0.531427532	0.37327	0.57005	0.75061
51	0.357177533	0.529118083	0.41799	0.61094	0.70057
52	0.368372391	0.475442344	0.44648	0.56486	0.63234
53	0.356844659	0.645391631	0.50832	0.52317	0.54673
56	0.376997518	0.623224461	0.50176	0.60852	0.48049
57	0.382803407	0.620143701	0.43359	0.63674	0.46124
58	0.389005618	0.631986367	0.43925	0.67469	0.42733
59	0.366711614	0.570463237	0.44823	0.71238	0.50144
60	0.379016012	0.489756695	0.47951	0.71121	0.50661
65	0.266062221	0.371369559	0.46182	0.7225	0.56602
66	0.235072714	0.339921608	0.46886	0.72612	0.56566
67	0.196546683	0.361491697	0.43849	0.71717	0.54662
69	0.214732643	0.280317888	0.47633	0.71249	0.58269
70	0.214814017	0.325869041	0.40646	0.71259	0.56908
71	0.227859247	0.28851955	0.33362	0.72931	0.58166
72	0.222227348	0.304028241	0.39686	0.72407	0.59014
73	0.192372458	0.263490866	0.33653	0.62314	0.5402
74	0.153191115	0.257152553	0.30572	0.51109	0.45301
77	0.209643238	0.17900849	0.21762	0.56678	0.33335
78	0.235444133	0.212464762	0.19483	0.59773	0.37273
79	0.164540389	0.183626556	0.20566	0.59006	0.35715
80	0.158674785	0.180488025	0.2516	0.51693	0.40166
81	0.124515174	0.196586561	0.16849	0.53708	0.40779
84	0.166628236	0.108239424	0.16737	0.46416	0.39921
85	0.133574053	0.13258987	0.08679	0.34671	0.39698
86	0.09463947	0.139800154	0.12363	0.28116	0.37937
87	0.137158374	0.128017832	0.11463	0.21037	0.34602
88	0.227907076	0.136866308	0.1201	0.26816	0.47084
90	0.157855074	0.242430533	0.19055	0.32909	0.31743
91	0.187264799	0.213753586	0.21486	0.40711	0.35891
