Sample_name	Group	Time	Tmp	pH	EC	NH4	PHO	CODs	CODt	CODb	CellNr	OD
0.25_AC	AC	0.25	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_AC	AC	1	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
2_AC	AC	2	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_AC	AC	3	30	6.405	0.95	4.55	69.03	NA	1500	NA	NA	NA
5_AC	AC	5	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_AC	AC	7	30	6.425	0.9	4.4	63.66	NA	1382	NA	NA	NA
8_AC	AC	8	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_AC	AC	9	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_AC	AC	10	30	6.425	0.91	4.95	66.71	NA	1368	NA	NA	NA
11_AC	AC	11	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
12_AC	AC	12	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
14_AC	AC	14	30	6.39	0.97	4.7	66.87	NA	1382	NA	NA	NA
15_AC	AC	15	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
17_AC	AC	17	30	6.41	0.93	4.35	67.18	NA	1346	NA	NA	NA
18_AC	AC	18	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
19_AC	AC	19	30	6.43	0.925	4.55	67.1	NA	1358	NA	NA	NA
21_AC	AC	21	30	6.45	0.92	4	67.57	NA	1354	NA	NA	NA
22_AC	AC	22	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
23_AC	AC	23	30	6.41	0.93	3.75	67.57	NA	1354	NA	NA	NA
24_AC	AC	24	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
25_AC	AC	25	30	6.435	0.945	4.5	69.63	NA	1406	NA	NA	NA
28_AC	AC	28	30	6.42	0.93	4.75	64.65	NA	1358	NA	NA	NA
29_AC	AC	29	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
30_AC	AC	30	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
31_AC	AC	31	30	6.39	0.98	6.55	65.42	NA	1332	NA	NA	NA
32_AC	AC	32	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
36_AC	AC	36	30	6.45	0.94	4.55	68.3	NA	1332	NA	NA	NA
37_AC	AC	37	30	6.42	0.97	4.55	67.56	NA	1406	NA	NA	NA
38_AC	AC	38	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
39_AC	AC	39	30	6.41	0.97	4.85	67.37	NA	1440	NA	NA	NA
43_AC	AC	43	30	6.455	0.94	4.45	70.23	NA	1420	NA	NA	NA
44_AC	AC	44	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
45_AC	AC	45	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
46_AC	AC	46	30	6.43	0.95	4.1	69.45	NA	1434	NA	NA	NA
49_AC	AC	49	30	6.425	0.94	4.7	68.4	NA	1360	NA	NA	NA
50_AC	AC	50	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
51_AC	AC	51	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
52_AC	AC	52	30	6.425	0.93	4.5	66.15	NA	1368	NA	NA	NA
53_AC	AC	53	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
56_AC	AC	56	30	6.43	0.93	4.5	66.99	NA	1344	NA	NA	NA
57_AC	AC	57	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
58_AC	AC	58	30	6.45	0.96	4.25	67.3348	NA	1336	NA	NA	NA
59_AC	AC	59	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
60_AC	AC	60	30	6.42	0.95	4.35	67.77	NA	1378	NA	NA	NA
65_AC	AC	65	30	6.455	0.92	4.25	60.76	NA	1330	NA	NA	NA
66_AC	AC	66	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
67_AC	AC	67	30	6.43	0.91	4.45	63.69	NA	1336	NA	NA	NA
69_AC	AC	69	30	6.47	0.92	4.05	65.15	NA	1332	NA	NA	NA
70_AC	AC	70	30	6.41	0.95	4.1	65.15	NA	1466	NA	NA	NA
71_AC	AC	71	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
72_AC	AC	72	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
73_AC	AC	73	30	6.455	0.93	4.5	65.15	NA	1466	NA	NA	NA
74_AC	AC	74	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
77_AC	AC	77	30	6.44	0.93	4.5	64.7	NA	1506	NA	NA	NA
78_AC	AC	78	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
79_AC	AC	79	30	6.44	0.94	4.4	66.47	NA	1374	NA	NA	NA
80_AC	AC	80	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
81_AC	AC	81	30	6.4	0.94	4.65	66.35	NA	1396	NA	NA	NA
84_AC	AC	84	30	6.4	0.92	4.2	65.9	NA	1340	NA	NA	NA
85_AC	AC	85	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
86_AC	AC	86	30	6.385	0.93	4.5	63.62	NA	1454	NA	NA	NA
87_AC	AC	87	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
88_AC	AC	88	30	6.435	1	4.35	63.74	NA	1410	NA	NA	NA
90_AC	AC	90	30	6.455	0.95	3.85	63.39476	NA	1354	NA	NA	NA
91_AC	AC	91	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.25_C1	C1	0.25	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3315
1_C1	C1	1	30	NA	NA	NA	NA	NA	NA	NA	NA	0.5015
2_C1	C1	2	30	NA	NA	NA	NA	NA	NA	NA	NA	0.378
3_C1	C1	3	30	7.985	1.16	28	63.79	73	668	595	NA	0.281
5_C1	C1	5	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3225
7_C1	C1	7	30	7.88	1.11	33.5	60.16	166	618	452	NA	0.2555
8_C1	C1	8	30	NA	NA	NA	NA	NA	NA	NA	NA	0.2875
9_C1	C1	9	30	NA	NA	NA	NA	NA	NA	NA	NA	0.335
10_C1	C1	10	30	8.12	1.16	27	62.67	83	528	445	NA	0.343
11_C1	C1	11	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3565
12_C1	C1	12	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3615
14_C1	C1	14	30	8.02	1.18	29	63.23	58	616	558	4	0.355
15_C1	C1	15	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3765
17_C1	C1	17	30	8	1.11	25	61.4	59	696	637	NA	0.3845
18_C1	C1	18	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3495
19_C1	C1	19	30	8.125	1.09	20	62.36	79	654	575	NA	0.369
21_C1	C1	21	30	8.055	1.06	17.5	64.35	109	684	575	5.01	0.391
22_C1	C1	22	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3985
23_C1	C1	23	30	8.02	1.07	16	63.98	87	688	601	NA	0.4035
24_C1	C1	24	30	NA	NA	NA	NA	NA	NA	NA	NA	0.4165
25_C1	C1	25	30	8.005	1.07	14	66.05	75	707	632	NA	0.413
28_C1	C1	28	30	8.06	1.04	11	61.46	84	703	619	NA	0.427
29_C1	C1	29	30	NA	NA	NA	NA	NA	NA	NA	NA	0.429
30_C1	C1	30	30	NA	NA	NA	NA	NA	NA	NA	NA	0.427
31_C1	C1	31	30	8	1.05	10	61.57	89	677	588	NA	0.404
32_C1	C1	32	30	NA	NA	NA	NA	NA	NA	NA	NA	NA
36_C1	C1	36	30	7.85	1.04	6	62.59	71	672	601	NA	0.391
37_C1	C1	37	30	7.83	1.05	6	61.92	81	670	589	NA	0.385
38_C1	C1	38	30	NA	NA	NA	NA	NA	NA	NA	NA	0.385
39_C1	C1	39	30	7.855	1.04	6	61.54	89	640	551	6.49	0.373
43_C1	C1	43	30	7.745	1.02	4	66.02	80	686	606	NA	0.3895
44_C1	C1	44	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3775
45_C1	C1	45	30	NA	NA	NA	NA	NA	NA	NA	5.89	0.362
46_C1	C1	46	30	7.855	1.07	9.5	67.65	92	630	538	4.55	0.3305
49_C1	C1	49	30	7.765	1.01	4	63.92	91	609	518	5.6	0.3235
50_C1	C1	50	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3155
51_C1	C1	51	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3505
52_C1	C1	52	30	7.75	0.99	2	59.35	79	642	563	6.12	0.3465
53_C1	C1	53	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3225
56_C1	C1	56	30	7.775	1.02	2	60.7	93	615	522	5.59	0.3285
57_C1	C1	57	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3195
58_C1	C1	58	30	7.755	1.04	3	63.25	86	577	491	6.42	0.3105
59_C1	C1	59	30	NA	NA	NA	NA	NA	NA	NA	NA	0.3
60_C1	C1	60	30	7.555	1.04	3	63.2	105	587	482	5.86	0.3075
