time	Values	group	reactor
1	6	1	C1
2	18	1	C1
3	21	1	C1
4	18	1	C1
5	17	1	C1
6	14	1	C1
7	17	1	C1
8	18	1	C1
9	16	1	C1
10	13	1	C1
11	16	1	C1
12	27	1	C1
13	20	1	C1
14	16	1	C1
15	20	1	C1
16	15	1	C1
17	15	1	C1
18	12	1	C1
19	12	1	C1
20	10	1	C1
21	9	1	C1
22	11	1	C1
23	11	1	C1
24	11	1	C1
25	11	1	C1
26	14	1	C1
27	13	1	C1
28	13	1	C1
29	13	1	C1
30	17	1	C1
31	11	1	C1
32	13	1	C1
33	13	1	C1
34	21	1	C1
35	15	1	C1
36	7	1	C1
37	7	1	C1
38	9	1	C1
39	10	1	C1
40	12	1	C1
41	11	1	C1
42	12	1	C1
43	14	1	C1
44	13	1	C1
45	15	1	C1
46	15	1	C1
47	14	1	C1
48	14	1	C1
49	15	1	C1
50	14	1	C1
51	15	1	C1
52	15	1	C1
53	15	1	C1
54	12	1	C1
55	15	1	C1
56	13	1	C1
57	13	1	C1
58	13	1	C1
59	13	1	C1
60	12	1	C1
61	13	1	C1
62	13	1	C1
63	13	1	C1
64	15	1	C1
65	13	1	C1
2	12	2	C1
3	11	2	C1
4	11	2	C1
5	13	2	C1
6	15	2	C1
7	9	2	C1
8	1	2	C1
9	2	2	C1
10	3	2	C1
11	5	2	C1
12	17	2	C1
13	9	2	C1
14	10	2	C1
15	8	2	C1
16	7	2	C1
17	4	2	C1
18	3	2	C1
19	2	2	C1
20	2	2	C1
21	3	2	C1
22	4	2	C1
23	2	2	C1
24	0	2	C1
25	2	2	C1
26	5	2	C1
27	1	2	C1
28	2	2	C1
29	4	2	C1
30	6	2	C1
31	6	2	C1
32	4	2	C1
33	4	2	C1
34	14	2	C1
35	12	2	C1
36	10	2	C1
37	0	2	C1
38	2	2	C1
39	3	2	C1
40	2	2	C1
41	3	2	C1
42	7	2	C1
43	6	2	C1
44	5	2	C1
45	8	2	C1
46	2	2	C1
47	5	2	C1
48	2	2	C1
49	1	2	C1
50	5	2	C1
51	3	2	C1
52	4	2	C1
53	2	2	C1
54	3	2	C1
55	3	2	C1
56	2	2	C1
57	2	2	C1
58	2	2	C1
59	6	2	C1
60	3	2	C1
61	1	2	C1
62	2	2	C1
63	2	2	C1
64	8	2	C1
65	6	2	C1
1	7	1	C2
2	18	1	C2
3	21	1	C2
4	21	1	C2
5	14	1	C2
6	12	1	C2
7	19	1	C2
8	15	1	C2
9	12	1	C2
10	12	1	C2
11	12	1	C2
12	14	1	C2
13	14	1	C2
14	15	1	C2
15	16	1	C2
16	15	1	C2
17	15	1	C2
18	16	1	C2
19	18	1	C2
20	15	1	C2
21	18	1	C2
22	18	1	C2
23	18	1	C2
24	18	1	C2
25	18	1	C2
26	16	1	C2
27	19	1	C2
28	17	1	C2
29	14	1	C2
30	12	1	C2
31	12	1	C2
32	12	1	C2
33	12	1	C2
34	14	1	C2
35	13	1	C2
36	18	1	C2
37	20	1	C2
38	18	1	C2
39	12	1	C2
40	11	1	C2
41	10	1	C2
42	11	1	C2
43	9	1	C2
44	13	1	C2
45	19	1	C2
46	17	1	C2
47	16	1	C2
48	15	1	C2
49	17	1	C2
50	14	1	C2
51	15	1	C2
52	13	1	C2
53	16	1	C2
54	14	1	C2
55	15	1	C2
56	15	1	C2
57	16	1	C2
58	16	1	C2
59	17	1	C2
60	17	1	C2
61	14	1	C2
62	16	1	C2
63	16	1	C2
64	16	1	C2
65	21	1	C2
2	11	2	C2
3	11	2	C2
4	8	2	C2
5	15	2	C2
6	10	2	C2
7	9	2	C2
8	18	2	C2
9	7	2	C2
10	4	2	C2
11	2	2	C2
12	2	2	C2
13	0	2	C2
14	3	2	C2
15	1	2	C2
16	1	2	C2
17	6	2	C2
18	3	2	C2
19	4	2	C2
20	5	2	C2
21	3	2	C2
22	2	2	C2
23	4	2	C2
24	0	2	C2
25	2	2	C2
26	6	2	C2
27	5	2	C2
28	6	2	C2
29	5	2	C2
30	4	2	C2
31	4	2	C2
32	0	2	C2
33	6	2	C2
34	6	2	C2
35	23	2	C2
36	9	2	C2
37	8	2	C2
38	8	2	C2
39	10	2	C2
40	5	2	C2
41	3	2	C2
42	3	2	C2
43	2	2	C2
44	4	2	C2
45	12	2	C2
46	4	2	C2
47	3	2	C2
48	7	2	C2
49	6	2	C2
50	5	2	C2
51	3	2	C2
52	2	2	C2
53	3	2	C2
54	6	2	C2
55	3	2	C2
56	2	2	C2
57	1	2	C2
58	0	2	C2
59	7	2	C2
60	2	2	C2
61	3	2	C2
62	2	2	C2
63	2	2	C2
64	6	2	C2
65	9	2	C2
0	8	abC1	C1
66	8	abC1	C1
0	9	abC2	C2
66	9	abC2	C2
