time	Values	group	reactor
1	8	1	D1
2	17	1	D1
3	21	1	D1
4	17	1	D1
5	16	1	D1
6	19	1	D1
7	12	1	D1
8	15	1	D1
9	16	1	D1
10	17	1	D1
11	8	1	D1
12	18	1	D1
13	16	1	D1
14	21	1	D1
15	17	1	D1
16	14	1	D1
17	15	1	D1
18	14	1	D1
19	13	1	D1
20	16	1	D1
21	16	1	D1
22	19	1	D1
23	18	1	D1
24	15	1	D1
25	15	1	D1
26	16	1	D1
27	13	1	D1
28	15	1	D1
29	15	1	D1
30	17	1	D1
31	18	1	D1
32	17	1	D1
33	15	1	D1
34	17	1	D1
35	21	1	D1
36	21	1	D1
37	22	1	D1
38	19	1	D1
39	17	1	D1
40	17	1	D1
41	16	1	D1
42	16	1	D1
43	19	1	D1
44	17	1	D1
45	14	1	D1
46	14	1	D1
47	13	1	D1
48	13	1	D1
49	16	1	D1
50	16	1	D1
51	16	1	D1
52	18	1	D1
53	18	1	D1
54	20	1	D1
55	19	1	D1
56	18	1	D1
57	17	1	D1
58	20	1	D1
59	17	1	D1
60	19	1	D1
61	19	1	D1
62	18	1	D1
63	17	1	D1
64	17	1	D1
65	19	1	D1
2	9	2	D1
3	10	2	D1
4	12	2	D1
5	11	2	D1
6	11	2	D1
7	11	2	D1
8	9	2	D1
9	3	2	D1
10	15	2	D1
11	9	2	D1
12	12	2	D1
13	6	2	D1
14	11	2	D1
15	4	2	D1
16	7	2	D1
17	5	2	D1
18	3	2	D1
19	1	2	D1
20	3	2	D1
21	6	2	D1
22	7	2	D1
23	5	2	D1
24	5	2	D1
25	0	2	D1
26	5	2	D1
27	5	2	D1
28	4	2	D1
29	0	2	D1
30	2	2	D1
31	3	2	D1
32	3	2	D1
33	4	2	D1
34	2	2	D1
35	8	2	D1
36	2	2	D1
37	3	2	D1
38	3	2	D1
39	6	2	D1
40	8	2	D1
41	3	2	D1
42	6	2	D1
43	3	2	D1
44	2	2	D1
45	5	2	D1
46	0	2	D1
47	1	2	D1
48	4	2	D1
49	3	2	D1
50	6	2	D1
51	8	2	D1
52	8	2	D1
53	4	2	D1
54	6	2	D1
55	1	2	D1
56	3	2	D1
57	3	2	D1
58	7	2	D1
59	5	2	D1
60	2	2	D1
61	4	2	D1
62	1	2	D1
63	3	2	D1
64	4	2	D1
65	2	2	D1
1	7	1	D2
2	15	1	D2
3	17	1	D2
4	19	1	D2
5	15	1	D2
6	10	1	D2
7	9	1	D2
8	12	1	D2
9	12	1	D2
10	16	1	D2
11	16	1	D2
12	18	1	D2
13	17	1	D2
14	19	1	D2
15	20	1	D2
16	21	1	D2
17	21	1	D2
18	23	1	D2
19	23	1	D2
20	20	1	D2
21	22	1	D2
22	19	1	D2
23	18	1	D2
24	15	1	D2
25	13	1	D2
26	12	1	D2
27	17	1	D2
28	18	1	D2
29	16	1	D2
30	16	1	D2
31	15	1	D2
32	16	1	D2
33	15	1	D2
34	20	1	D2
35	15	1	D2
36	15	1	D2
37	15	1	D2
38	14	1	D2
39	16	1	D2
40	13	1	D2
41	18	1	D2
42	18	1	D2
43	17	1	D2
44	17	1	D2
45	12	1	D2
46	12	1	D2
47	10	1	D2
48	11	1	D2
49	12	1	D2
50	15	1	D2
51	16	1	D2
52	19	1	D2
53	6	1	D2
54	5	1	D2
55	3	1	D2
56	5	1	D2
57	7	1	D2
58	4	1	D2
59	5	1	D2
60	4	1	D2
61	6	1	D2
62	10	1	D2
63	13	1	D2
64	15	1	D2
65	16	1	D2
2	8	2	D2
3	12	2	D2
4	6	2	D2
5	24	2	D2
6	5	2	D2
7	7	2	D2
8	9	2	D2
9	10	2	D2
10	6	2	D2
11	6	2	D2
12	8	2	D2
13	1	2	D2
14	8	2	D2
15	7	2	D2
16	7	2	D2
17	8	2	D2
18	8	2	D2
19	2	2	D2
20	5	2	D2
21	2	2	D2
22	7	2	D2
23	9	2	D2
24	5	2	D2
25	6	2	D2
26	9	2	D2
27	15	2	D2
28	3	2	D2
29	4	2	D2
30	6	2	D2
31	9	2	D2
32	7	2	D2
33	5	2	D2
34	11	2	D2
35	5	2	D2
36	6	2	D2
37	8	2	D2
38	3	2	D2
39	10	2	D2
40	13	2	D2
41	5	2	D2
42	2	2	D2
43	3	2	D2
44	4	2	D2
45	9	2	D2
46	0	2	D2
47	2	2	D2
48	1	2	D2
49	1	2	D2
50	7	2	D2
51	1	2	D2
52	21	2	D2
53	15	2	D2
54	3	2	D2
55	2	2	D2
56	2	2	D2
57	2	2	D2
58	3	2	D2
59	1	2	D2
60	1	2	D2
61	2	2	D2
62	6	2	D2
63	5	2	D2
64	10	2	D2
65	3	2	D2
1	8	1	D3
2	19	1	D3
3	20	1	D3
4	20	1	D3
5	10	1	D3
6	15	1	D3
7	17	1	D3
8	11	1	D3
9	18	1	D3
10	17	1	D3
11	18	1	D3
12	19	1	D3
13	17	1	D3
14	19	1	D3
15	20	1	D3
16	20	1	D3
17	22	1	D3
18	21	1	D3
19	22	1	D3
20	23	1	D3
21	24	1	D3
22	20	1	D3
23	16	1	D3
24	20	1	D3
25	17	1	D3
26	12	1	D3
27	12	1	D3
28	12	1	D3
29	5	1	D3
30	7	1	D3
31	6	1	D3
32	11	1	D3
33	10	1	D3
34	12	1	D3
35	7	1	D3
36	7	1	D3
37	7	1	D3
38	13	1	D3
39	15	1	D3
40	19	1	D3
41	19	1	D3
42	20	1	D3
43	18	1	D3
44	17	1	D3
45	17	1	D3
46	16	1	D3
47	17	1	D3
48	16	1	D3
49	15	1	D3
50	13	1	D3
51	17	1	D3
52	17	1	D3
53	16	1	D3
54	19	1	D3
55	20	1	D3
56	16	1	D3
57	15	1	D3
58	14	1	D3
59	14	1	D3
60	15	1	D3
61	15	1	D3
62	21	1	D3
63	17	1	D3
64	17	1	D3
65	16	1	D3
2	11	2	D3
3	9	2	D3
4	10	2	D3
5	20	2	D3
6	17	2	D3
7	6	2	D3
8	6	2	D3
9	9	2	D3
10	17	2	D3
11	5	2	D3
12	5	2	D3
13	2	2	D3
14	8	2	D3
15	5	2	D3
16	4	2	D3
17	4	2	D3
18	1	2	D3
19	3	2	D3
20	9	2	D3
21	3	2	D3
22	8	2	D3
23	6	2	D3
24	4	2	D3
25	13	2	D3
26	15	2	D3
27	2	2	D3
28	6	2	D3
29	7	2	D3
30	2	2	D3
31	3	2	D3
32	5	2	D3
33	1	2	D3
34	4	2	D3
35	5	2	D3
36	2	2	D3
37	2	2	D3
38	6	2	D3
39	8	2	D3
