time	Values	group	reactor
1	30	te	D1
2	30	te	D1
3	30	te	D1
4	30	te	D1
5	30	te	D1
6	30	te	D1
7	35	te	D1
8	35	te	D1
9	35	te	D1
10	40	te	D1
11	40	te	D1
12	40	te	D1
13	40	te	D1
14	40	te	D1
15	40	te	D1
16	40	te	D1
17	40	te	D1
18	40	te	D1
19	40	te	D1
20	40	te	D1
21	40	te	D1
22	40	te	D1
23	35	te	D1
24	35	te	D1
25	35	te	D1
26	30	te	D1
27	30	te	D1
28	30	te	D1
29	30	te	D1
30	30	te	D1
31	30	te	D1
32	30	te	D1
33	30	te	D1
34	30	te	D1
35	30	te	D1
36	35	te	D1
37	35	te	D1
38	35	te	D1
39	40	te	D1
40	40	te	D1
41	40	te	D1
42	40	te	D1
43	40	te	D1
44	40	te	D1
45	40	te	D1
46	40	te	D1
47	40	te	D1
48	40	te	D1
49	40	te	D1
50	35	te	D1
51	35	te	D1
52	35	te	D1
53	30	te	D1
54	30	te	D1
55	30	te	D1
56	30	te	D1
57	30	te	D1
58	30	te	D1
59	30	te	D1
60	30	te	D1
61	30	te	D1
62	30	te	D1
63	30	te	D1
64	30	te	D1
65	30	te	D1
1	30	te	D2
2	30	te	D2
3	30	te	D2
4	30	te	D2
5	30	te	D2
6	30	te	D2
7	35	te	D2
8	35	te	D2
9	35	te	D2
10	40	te	D2
11	40	te	D2
12	40	te	D2
13	40	te	D2
14	40	te	D2
15	40	te	D2
16	40	te	D2
17	40	te	D2
18	40	te	D2
19	40	te	D2
20	40	te	D2
21	40	te	D2
22	40	te	D2
23	35	te	D2
24	35	te	D2
25	35	te	D2
26	30	te	D2
27	30	te	D2
28	30	te	D2
29	30	te	D2
30	30	te	D2
31	30	te	D2
32	30	te	D2
33	30	te	D2
34	30	te	D2
35	30	te	D2
36	35	te	D2
37	35	te	D2
38	35	te	D2
39	40	te	D2
40	40	te	D2
41	40	te	D2
42	40	te	D2
43	40	te	D2
44	40	te	D2
45	40	te	D2
46	40	te	D2
47	40	te	D2
48	40	te	D2
49	40	te	D2
50	35	te	D2
51	35	te	D2
52	35	te	D2
53	30	te	D2
54	30	te	D2
55	30	te	D2
56	30	te	D2
57	30	te	D2
58	30	te	D2
59	30	te	D2
60	30	te	D2
61	30	te	D2
62	30	te	D2
63	30	te	D2
64	30	te	D2
65	30	te	D2
1	30	te	D3
2	30	te	D3
3	30	te	D3
4	30	te	D3
5	30	te	D3
6	30	te	D3
7	35	te	D3
8	35	te	D3
9	35	te	D3
10	40	te	D3
11	40	te	D3
12	40	te	D3
13	40	te	D3
14	40	te	D3
15	40	te	D3
16	40	te	D3
17	40	te	D3
18	40	te	D3
19	40	te	D3
20	40	te	D3
21	40	te	D3
22	40	te	D3
23	35	te	D3
24	35	te	D3
25	35	te	D3
26	30	te	D3
27	30	te	D3
28	30	te	D3
29	30	te	D3
30	30	te	D3
31	30	te	D3
32	30	te	D3
33	30	te	D3
34	30	te	D3
35	30	te	D3
36	35	te	D3
37	35	te	D3
38	35	te	D3
39	40	te	D3
40	40	te	D3
41	40	te	D3
42	40	te	D3
43	40	te	D3
44	40	te	D3
45	40	te	D3
46	40	te	D3
47	40	te	D3
48	40	te	D3
49	40	te	D3
50	35	te	D3
51	35	te	D3
52	35	te	D3
53	30	te	D3
54	30	te	D3
55	30	te	D3
56	30	te	D3
57	30	te	D3
58	30	te	D3
59	30	te	D3
60	30	te	D3
61	30	te	D3
62	30	te	D3
63	30	te	D3
64	30	te	D3
65	30	te	D3
